Red Corner,Blue Corner,Weight Class,Title Fight,Result,Round,Time,Method,Red Corner Bonus Award,Blue Corner Bonus Award,Red Corner Country,Blue Corner Country,Red Corner Odds,Blue Corner Odds
LIVINHA SOUZA,BRIANNA FORTINO,WOMEN'S STRAWWEIGHT,NO TITLE,WINNER: BRIANNA FORTINO,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
BENITO LOPEZ,VINCE MORALES,BANTAMWEIGHT,NO TITLE,WINNER: BENITO LOPEZ,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,UNITED STATES,-,-
RAFAEL DOS ANJOS,LEON EDWARDS,WELTERWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,BRAZIL,ENGLAND,-,-
ALEKSEI OLEINIK,WALT HARRIS,HEAVYWEIGHT,NO TITLE,NO CONTEST,1,0:12,KO/TKO,-,PERFORMANCE OF THE NIGHT,RUSSIA,UNITED STATES,-,-
GREG HARDY,JUAN ADAMS,HEAVYWEIGHT,NO TITLE,NO CONTEST,1,:45,KO,-,-,UNITED STATES,UNITED STATES,-,-
JAMES VICK,DAN HOOKER,LIGHTWEIGHT,NO TITLE,NO CONTEST,1,2:33,KO/TKO,-,PERFORMANCE OF THE NIGHT,UNITED STATES,NEW ZEALAND,-,-
ALEXANDER HERNANDEZ,FRANCISCO TRINALDO,LIGHTWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,UNITED STATES,BRAZIL,-,-
ANDREI ARLOVSKI,BEN ROTHWELL,HEAVYWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,UNITED STATES,-,-,-
ALEX CACERES,STEVEN PETERSON,FEATHERWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,UNITED STATES,UNITED STATES,-,-
RAQUEL PENNINGTON,IRENE ALDANA,WOMEN'S BANTAMWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,UNITED STATES,MEXICO,-,-
SAM ALVEY,KLIDSON ABREU,LIGHT HEAVYWEIGHT,NO TITLE,NO CONTEST,3,5:00,UD,-,-,UNITED STATES,-,-,-
ROXANNE MODAFFERI,JENNIFER MAIA,WOMEN'S FLYWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,UNITED STATES,BRAZIL,-,-
RAY BORG,GABRIEL SILVA,BANTAMWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,UNITED STATES,-,-,-
MARIO BAUTISTA,JIN SOO SON,BANTAMWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,FIGHT OF THE NIGHT,FIGHT OF THE NIGHT,UNITED STATES,-,-,-
DOMINGO PILARTE,FELIPE COLARES,BANTAMWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,UNITED STATES,BRAZIL,-,-
MAX HOLLOWAY,FRANKIE EDGAR,FEATHERWEIGHT,TITLE,WINNER: MAX HOLLOWAY,5,5:00,DEC,-,-,UNITED STATES,UNITED STATES,-380,+290
CRIS CYBORG,FELICIA SPENCER,WOMEN'S FEATHERWEIGHT,NO TITLE,NO CONTEST,5,5:00,DEC,-,-,BRAZIL,-,-550,+375
GEOFF NEAL,NIKO PRICE,WELTERWEIGHT,NO TITLE,NO CONTEST,2,2:39,KO/TKO,-,PERFORMANCE OF THE NIGHT,UNITED STATES,UNITED STATES,-330,+250
OLIVIER AUBIN-MERCIER,ARMAN TSARUKYAN,LIGHTWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,CANADA,ARMENIA,+140,-170
MARC-ANDRE BARRIAULT,KRZYSZTOF JOTKO,MIDDLEWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,CANADA,POLAND,+150,-180
ALEXIS DAVIS,VIVIANE ARAÚJO,WOMEN'S FLYWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,CANADA,BRAZIL,-,-
HAKEEM DAWODU,YOSHINORI HORIE,FEATHERWEIGHT,NO TITLE,NO CONTEST,3,4:09,KO/TKO,-,PERFORMANCE OF THE NIGHT,CANADA,-,-,-
GAVIN TUCKER,SEUNGWOO CHOI,FEATHERWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,CANADA,SOUTH KOREA,-,-
ALEXANDRE PANTOJA,DEIVESON FIGUEIREDO,FLYWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,FIGHT OF THE NIGHT,FIGHT OF THE NIGHT,BRAZIL,BRAZIL,-,-
GILLIAN ROBERTSON,SARAH FROTA,WOMEN'S FLYWEIGHT,NO TITLE,NO CONTEST,2,4:13,TKO,-,-,CANADA,-,-,-
ERIK KOCH,KYLE STEWART,WELTERWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,-,UNITED STATES,-,-
COLBY COVINGTON,ROBBIE LAWLER,WELTERWEIGHT,NO TITLE,NO CONTEST,5,5:00,DEC,-,-,UNITED STATES,UNITED STATES,-,-
JIM MILLER,CLAY GUIDA,LIGHTWEIGHT,NO TITLE,NO CONTEST,1,0:58,SUB,-,-,UNITED STATES,UNITED STATES,-,-
JOAQUIM SILVA,NASRAT HAQPARAST,LIGHTWEIGHT,NO TITLE,NO CONTEST,2,0:36,KO/TKO,-,PERFORMANCE OF THE NIGHT,BRAZIL,MOROCCO,-,-
TREVIN GILES,GERALD MEERSCHAERT,MIDDLEWEIGHT,NO TITLE,NO CONTEST,3,1:49,SUB,-,-,UNITED STATES,UNITED STATES,-,-
SCOTT HOLTZMAN,N/A,LIGHTWEIGHT,NO TITLE,NO CONTEST,2,5:00,KO/TKO,-,-,UNITED STATES,-,-,-
DARKO STOSIC,KENNEDY NZECHUKWU,LIGHT HEAVYWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,-,NIGERIA,-,-
MICKEY GALL,SALIM TOUAHRI,WELTERWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,UNITED STATES,-,-,-
ANTONINA SHEVCHENKO,LUCIE PUDILOVA,WOMEN'S FLYWEIGHT,NO TITLE,NO CONTEST,2,1:20,SUB,FIGHT OF THE NIGHT,FIGHT OF THE NIGHT,KYRGYZSTAN,CZECHIA,-,-
JORDAN ESPINOSA,MATT SCHNELL,FLYWEIGHT,NO TITLE,NO CONTEST,1,1:23,SUB,-,-,-,UNITED STATES,-,-
LAUREN MURPHY,MARA ROMERO BORELLA,WOMEN'S FLYWEIGHT,NO TITLE,NO CONTEST,3,1:46,KO/TKO,-,-,UNITED STATES,ITALY,-,-
CLAUDIO SILVA,COLE WILLIAMS,UNLIMITED,NO TITLE,NO CONTEST,1,2:35,SUB,-,-,BRAZIL,-,-,-
MIRANDA GRANGER,HANNAH GOLDY,WOMEN'S FLYWEIGHT,NO TITLE,NO CONTEST,3,5:00,DEC,-,-,UNITED STATES,UNITED STATES,-,-
DANIEL CORMIER,STIPE MIOCIC,HEAVYWEIGHT,TITLE,WINNER: STIPE MIOCIC,4,4:09,KO/TKO,-,PERFORMANCE OF THE NIGHT,UNITED STATES,UNITED STATES,-140,+120
ANTHONY PETTIS,NATE DIAZ,WELTERWEIGHT,NO TITLE,WINNER: NATE DIAZ,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,UNITED STATES,-120,+100
YOEL ROMERO,PAULO COSTA,MIDDLEWEIGHT,NO TITLE,WINNER: PAULO COSTA,3,5:00,DECISION - UNANIMOUS,FIGHT OF THE NIGHT,FIGHT OF THE NIGHT,CUBA,BRAZIL,-155,+125
GABRIEL BENITEZ,SODIQ YUSUFF,FEATHERWEIGHT,NO TITLE,WINNER: SODIQ YUSUFF,1,4:14,KO/TKO,-,-,MEXICO,NIGERIA,+220,-300
DEREK BRUNSON,IAN HEINISCH,MIDDLEWEIGHT,NO TITLE,WINNER: DEREK BRUNSON,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,-,+125,-155
DEVONTE SMITH,KHAMA WORTHY,LIGHTWEIGHT,NO TITLE,WINNER: KHAMA WORTHY,1,4:15,KO/TKO,-,PERFORMANCE OF THE NIGHT,-,UNITED STATES,-,-
RAPHAEL ASSUNÇÃO,CORY SANDHAGEN,BANTAMWEIGHT,NO TITLE,WINNER: CORY SANDHAGEN,3,5:00,DECISION - UNANIMOUS,-,-,BRAZIL,UNITED STATES,-,-
CHRISTOS GIAGOS,DRAKKAR KLOSE,LIGHTWEIGHT,NO TITLE,WINNER: DRAKKAR KLOSE,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,UNITED STATES,-,-
MANNY BERMUDEZ,CASEY KENNEY,BANTAMWEIGHT,NO TITLE,WINNER: CASEY KENNEY,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,UNITED STATES,-,-
HANNAH CIFERS,JODIE ESQUIBEL,WOMEN'S STRAWWEIGHT,NO TITLE,WINNER: HANNAH CIFERS,3,5:00,DECISION - UNANIMOUS,-,-,-,UNITED STATES,-,-
KYUNG HO KANG,BRANDON DAVIS,BANTAMWEIGHT,NO TITLE,WINNER: KYUNG HO KANG,3,5:00,DECISION - SPLIT,-,-,SOUTH KOREA,UNITED STATES,-,-
SABINA MAZO,SHANA DOBSON,WOMEN'S FLYWEIGHT,NO TITLE,WINNER: SABINA MAZO,3,5:00,DECISION - UNANIMOUS,-,-,COLOMBIA,UNITED STATES,-,-
JESSICA ANDRADE,ZHANG WEILI,WOMEN'S STRAWWEIGHT,TITLE,WINNER: ZHANG WEILI,1,0:42,KO/TKO,-,PERFORMANCE OF THE NIGHT,BRAZIL,CHINA,-,-
LI JINGLIANG,ELIZEU ZALESKI DOS SANTOS,WELTERWEIGHT,NO TITLE,WINNER: LI JINGLIANG,3,4:51,KO/TKO,PERFORMANCE OF THE NIGHT,-,CHINA,BRAZIL,-,-
KAI KARA-FRANCE,MARK DE LA ROSA,FLYWEIGHT,NO TITLE,WINNER: KAI KARA-FRANCE,3,5:00,DECISION - UNANIMOUS,-,-,NEW ZEALAND,UNITED STATES,-,-
SONG KENAN,DERRICK KRANTZ,WELTERWEIGHT,NO TITLE,WINNER: SONG KENAN,3,5:00,DECISION - UNANIMOUS,-,-,CHINA,-,-,-
WU YANAN,MIZUKI,WOMEN'S FLYWEIGHT,NO TITLE,WINNER: MIZUKI,3,5:00,DECISION - SPLIT,-,-,CHINA,JAPAN,-,-
JUNYONG PARK,ANTHONY HERNANDEZ,MIDDLEWEIGHT,NO TITLE,WINNER: ANTHONY HERNANDEZ,2,4:39,SUBMISSION,-,-,SOUTH KOREA,UNITED STATES,-,-
SUMUDAERJI,ANDRE SOUKHAMTHATH,BANTAMWEIGHT,NO TITLE,WINNER: SUMUDAERJI,3,5:00,DECISION - UNANIMOUS,-,-,CHINA,-,-,-
DA WOON JUNG,KHADIS IBRAGIMOV,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: DA WOON JUNG,3,2:00,SUBMISSION,-,-,SOUTH KOREA,-,-,-
DAMIR ISMAGULOV,THIAGO MOISES,LIGHTWEIGHT,NO TITLE,WINNER: DAMIR ISMAGULOV,3,5:00,DECISION - UNANIMOUS,-,-,KAZAKHSTAN,BRAZIL,-,-
ALATENGHEILI,BATGEREL DANAA,BANTAMWEIGHT,NO TITLE,WINNER: ALATENGHEILI,3,5:00,DECISION - UNANIMOUS,FIGHT OF THE NIGHT,FIGHT OF THE NIGHT,CHINA,MONGOLIA,-,-
KAROL ROSA,LARA PROCOPIO,WOMEN'S BANTAMWEIGHT,NO TITLE,WINNER: KAROL ROSA,3,5:00,DECISION - SPLIT,-,-,BRAZIL,-,-,-
KHABIB NURMAGOMEDOV,DUSTIN POIRIER,LIGHTWEIGHT,TITLE,WINNER: KHABIB NURMAGOMEDOV,3,2:06,SUBMISSION,PERFORMANCE OF THE NIGHT,-,RUSSIA,UNITED STATES,-,-
EDSON BARBOZA,PAUL FELDER,LIGHTWEIGHT,NO TITLE,WINNER: PAUL FELDER,3,5:00,DECISION - SPLIT,-,-,BRAZIL,UNITED STATES,-,-
ISLAM MAKHACHEV,DAVI RAMOS,LIGHTWEIGHT,NO TITLE,WINNER: ISLAM MAKHACHEV,3,5:00,DECISION - UNANIMOUS,-,-,RUSSIA,BRAZIL,-,-
CURTIS BLAYDES,SHAMIL ABDURAKHIMOV,HEAVYWEIGHT,NO TITLE,WINNER: CURTIS BLAYDES,2,2:22,KO/TKO,-,-,UNITED STATES,RUSSIA,-,-
MAIRBEK TAISUMOV,DIEGO FERREIRA,LIGHTWEIGHT,NO TITLE,WINNER: DIEGO FERREIRA,3,5:00,DECISION - UNANIMOUS,-,-,-,BRAZIL,-,-
JOANNE WOOD,ANDREA LEE,WOMEN'S FLYWEIGHT,NO TITLE,WINNER: JOANNE WOOD,3,5:00,DECISION - SPLIT,-,-,SCOTLAND,UNITED STATES,-,-
ZUBAIRA TUKHUGOV,LERONE MURPHY,FEATHERWEIGHT,NO TITLE,NO CONTEST,3,5:00,DECISION - SPLIT,-,-,RUSSIA,UNITED KINGDOM,-,-
LIANA JOJUA,SARAH MORAS,WOMEN'S BANTAMWEIGHT,NO TITLE,WINNER: SARAH MORAS,3,2:26,KO/TKO,-,-,-,-,-,-
OTTMAN AZAITAR,TEEMU PACKALEN,LIGHTWEIGHT,NO TITLE,WINNER: OTTMAN AZAITAR,1,3:33,KO/TKO,PERFORMANCE OF THE NIGHT,-,MOROCCO,-,-,-
BELAL MUHAMMAD,TAKASHI SATO,WELTERWEIGHT,NO TITLE,WINNER: BELAL MUHAMMAD,3,1:55,SUBMISSION,PERFORMANCE OF THE NIGHT,-,-,JAPAN,-,-
NORDINE TALEB,MUSLIM SALIKHOV,WELTERWEIGHT,NO TITLE,WINNER: MUSLIM SALIKHOV,1,4:26,KO/TKO,-,PERFORMANCE OF THE NIGHT,CANADA,RUSSIA,-,-
OMARI AKHMEDOV,ZAK CUMMINGS,MIDDLEWEIGHT,NO TITLE,WINNER: OMARI AKHMEDOV,3,5:00,DECISION - UNANIMOUS,-,-,RUSSIA,UNITED STATES,-,-
DON MADGE,FARÈS ZIAM,LIGHTWEIGHT,NO TITLE,WINNER: DON MADGE,3,5:00,DECISION - UNANIMOUS,-,-,SOUTH AFRICA,FRANCE,-,-
DONALD CERRONE,JUSTIN GAETHJE,LIGHTWEIGHT,NO TITLE,WINNER: JUSTIN GAETHJE,1,4:18,KO/TKO,-,PERFORMANCE OF THE NIGHT,UNITED STATES,UNITED STATES,-,-
GLOVER TEIXEIRA,NIKITA KRYLOV,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: GLOVER TEIXEIRA,3,5:00,DECISION - SPLIT,-,-,BRAZIL,-,-,-
TODD DUFFEE,JEFF HUGHES,HEAVYWEIGHT,NO TITLE,NO CONTEST,1,4:03,COULD NOT CONTINUE,-,-,-,-,-,-
MICHEL PEREIRA,TRISTAN CONNELLY,WELTERWEIGHT,NO TITLE,WINNER: TRISTAN CONNELLY,3,5:00,DECISION - UNANIMOUS,FIGHT OF THE NIGHT,FIGHT OF THE NIGHT,BRAZIL,CANADA,-,-
URIAH HALL,ANTONIO CARLOS JUNIOR,MIDDLEWEIGHT,NO TITLE,WINNER: URIAH HALL,3,5:00,DECISION - SPLIT,-,-,JAMAICA,BRAZIL,-,-
MISHA CIRKUNOV,JIMMY CRUTE,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: MISHA CIRKUNOV,1,3:38,SUBMISSION,PERFORMANCE OF THE NIGHT,-,CANADA,AUSTRALIA,-,-
MARCIN TYBURA,AUGUSTO SAKAI,HEAVYWEIGHT,NO TITLE,WINNER: AUGUSTO SAKAI,1,0:59,KO/TKO,-,-,POLAND,BRAZIL,-,-
COLE SMITH,MILES JOHNS,BANTAMWEIGHT,NO TITLE,WINNER: MILES JOHNS,3,5:00,DECISION - SPLIT,-,-,-,UNITED STATES,-,-
BRAD KATONA,HUNTER AZURE,BANTAMWEIGHT,NO TITLE,WINNER: HUNTER AZURE,3,5:00,DECISION - UNANIMOUS,-,-,CANADA,-,-,-
CHAS SKELLY,JORDAN GRIFFIN,FEATHERWEIGHT,NO TITLE,WINNER: CHAS SKELLY,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,UNITED STATES,-,-
LOUIS SMOLKA,RYAN MACDONALD,BANTAMWEIGHT,NO TITLE,WINNER: LOUIS SMOLKA,1,4:43,KO/TKO,-,-,UNITED STATES,-,-,-
KYLE PREPOLEC,AUSTIN HUBBARD,LIGHTWEIGHT,NO TITLE,WINNER: AUSTIN HUBBARD,3,5:00,DECISION - UNANIMOUS,-,-,-,UNITED STATES,-,-
YAIR RODRIGUEZ,JEREMY STEPHENS,FEATHERWEIGHT,NO TITLE,NO CONTEST,1,0:15,COULD NOT CONTINUE,-,-,MEXICO,UNITED STATES,-,-
CARLA ESPARZA,ALEXA GRASSO,WOMEN'S STRAWWEIGHT,NO TITLE,WINNER: CARLA ESPARZA,3,5:00,DECISION - MAJORITY,FIGHT OF THE NIGHT,FIGHT OF THE NIGHT,UNITED STATES,MEXICO,-,-
BRANDON MORENO,ASKAR ASKAROV,FLYWEIGHT,NO TITLE,NO CONTEST,3,5:00,DECISION - SPLIT,-,-,MEXICO,RUSSIA,-,-
IRENE ALDANA,VANESSA MELO,WOMEN'S BANTAMWEIGHT,NO TITLE,WINNER: IRENE ALDANA,3,5:00,DECISION - UNANIMOUS,-,-,MEXICO,-,-,-
MARTIN BRAVO,STEVEN PETERSON,FEATHERWEIGHT,NO TITLE,WINNER: STEVEN PETERSON,2,1:31,KO/TKO,-,PERFORMANCE OF THE NIGHT,MEXICO,UNITED STATES,-,-
JOSE QUINONEZ,CARLOS HUACHIN,BANTAMWEIGHT,NO TITLE,WINNER: JOSE QUINONEZ,3,5:00,DECISION - UNANIMOUS,-,-,MEXICO,-,-,-
MARCO POLO REYES,KYLE NELSON,FEATHERWEIGHT,NO TITLE,WINNER: KYLE NELSON,1,1:36,KO/TKO,-,-,UNITED STATES,CANADA,-,-
ARIANE CARNELOSSI,ANGELA HILL,WOMEN'S STRAWWEIGHT,NO TITLE,WINNER: ANGELA HILL,3,1:56,TKO - DOCTOR'S STOPPAGE,-,-,-,UNITED STATES,-,-
SERGIO PETTIS,TYSON NAM,FLYWEIGHT,NO TITLE,WINNER: SERGIO PETTIS,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,UNITED STATES,-,-
VINICIUS MOREIRA,PAUL CRAIG,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: PAUL CRAIG,1,3:19,SUBMISSION,-,PERFORMANCE OF THE NIGHT,BRAZIL,SCOTLAND,-,-
SIJARA EUBANKS,BETHE CORREIA,WOMEN'S BANTAMWEIGHT,NO TITLE,WINNER: BETHE CORREIA,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,BRAZIL,-,-
CLAUDIO PUELLES,MARCOS ROSA,LIGHTWEIGHT,NO TITLE,WINNER: CLAUDIO PUELLES,3,5:00,DECISION - UNANIMOUS,-,-,PERU,-,-,-
JACK HERMANSSON,JARED CANNONIER,MIDDLEWEIGHT,NO TITLE,WINNER: JARED CANNONIER,2,0:27,KO/TKO,-,PERFORMANCE OF THE NIGHT,NORWAY,UNITED STATES,-,-
MARK MADSEN,DANILO BELLUARDO,LIGHTWEIGHT,NO TITLE,WINNER: MARK MADSEN,1,1:12,KO/TKO,-,-,DENMARK,-,-,-
GUNNAR NELSON,GILBERT BURNS,WELTERWEIGHT,NO TITLE,WINNER: GILBERT BURNS,3,5:00,DECISION - UNANIMOUS,-,-,ICELAND,BRAZIL,-,-
ION CUTELABA,KHALIL ROUNTREE JR.,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: ION CUTELABA,1,2:35,KO/TKO,-,-,MOLDOVA,UNITED STATES,-,-
MICHAL OLEKSIEJCZUK,OVINCE SAINT PREUX,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: OVINCE SAINT PREUX,2,2:14,SUBMISSION,-,PERFORMANCE OF THE NIGHT,POLAND,HAITI,-,-
NICOLAS DALBY,ALEX OLIVEIRA,WELTERWEIGHT,NO TITLE,WINNER: NICOLAS DALBY,3,5:00,DECISION - UNANIMOUS,-,-,DENMARK,BRAZIL,-,-
ALEN AMEDOVSKI,JOHN PHILLIPS,MIDDLEWEIGHT,NO TITLE,WINNER: JOHN PHILLIPS,1,0:17,KO/TKO,-,PERFORMANCE OF THE NIGHT,-,-,-,-
ALESSIO DI CHIRICO,MAKHMUD MURADOV,UNLIMITED,NO TITLE,WINNER: MAKHMUD MURADOV,3,5:00,DECISION - UNANIMOUS,-,-,ITALY,UZBEKISTAN,-,-
SIYAR BAHADURZADA,ISMAIL NAURDIEV,WELTERWEIGHT,NO TITLE,WINNER: ISMAIL NAURDIEV,3,5:00,DECISION - UNANIMOUS,-,-,AFGHANISTAN,-,-,-
BRANDON DAVIS,GIGA CHIKADZE,FEATHERWEIGHT,NO TITLE,WINNER: GIGA CHIKADZE,3,5:00,DECISION - SPLIT,-,-,UNITED STATES,GEORGIA,-,-
MACY CHIASSON,LINA LANSBERG,WOMEN'S BANTAMWEIGHT,NO TITLE,WINNER: LINA LANSBERG,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,SWEDEN,-,-
MARC DIAKIESE,LANDO VANNATA,LIGHTWEIGHT,NO TITLE,WINNER: MARC DIAKIESE,3,5:00,DECISION - UNANIMOUS,-,-,UNITED KINGDOM,UNITED STATES,-,-
JACK SHORE,NOHELIN HERNANDEZ,BANTAMWEIGHT,NO TITLE,WINNER: JACK SHORE,3,2:51,SUBMISSION,PERFORMANCE OF THE NIGHT,-,WALES,-,-,-
ROBERT WHITTAKER,ISRAEL ADESANYA,MIDDLEWEIGHT,TITLE,WINNER: ISRAEL ADESANYA,2,3:33,KO/TKO,-,PERFORMANCE OF THE NIGHT,AUSTRALIA,NIGERIA,-,-
AL IAQUINTA,DAN HOOKER,LIGHTWEIGHT,NO TITLE,WINNER: DAN HOOKER,3,5:00,DECISION - UNANIMOUS,-,-,-,NEW ZEALAND,-,-
TAI TUIVASA,SERGHEI SPIVAC,HEAVYWEIGHT,NO TITLE,WINNER: SERGHEI SPIVAC,2,3:14,SUBMISSION,-,-,AUSTRALIA,MOLDOVA,-,-
LUKE JUMEAU,DHIEGO LIMA,WELTERWEIGHT,NO TITLE,WINNER: DHIEGO LIMA,3,5:00,DECISION - SPLIT,-,-,-,-,-,-
JUSTIN TAFA,YORGAN DE CASTRO,HEAVYWEIGHT,NO TITLE,WINNER: YORGAN DE CASTRO,1,2:10,KO/TKO,-,PERFORMANCE OF THE NIGHT,NEW ZEALAND,-,-,-
JAKE MATTHEWS,ROSTEM AKMAN,WELTERWEIGHT,NO TITLE,WINNER: JAKE MATTHEWS,3,5:00,DECISION - UNANIMOUS,-,-,AUSTRALIA,-,-,-
CALLAN POTTER,MAKI PITOLO,WELTERWEIGHT,NO TITLE,WINNER: CALLAN POTTER,3,5:00,DECISION - UNANIMOUS,-,-,AUSTRALIA,UNITED STATES,-,-
BRAD RIDDELL,JAMIE MULLARKEY,LIGHTWEIGHT,NO TITLE,WINNER: BRAD RIDDELL,3,5:00,DECISION - UNANIMOUS,FIGHT OF THE NIGHT,FIGHT OF THE NIGHT,NEW ZEALAND,AUSTRALIA,-,-
MEGAN ANDERSON,ZARAH FAIRN,WOMEN'S FEATHERWEIGHT,NO TITLE,WINNER: MEGAN ANDERSON,1,3:57,SUBMISSION,-,-,AUSTRALIA,FRANCE,-,-
NADIA KASSEM,JI YEON KIM,WOMEN'S FLYWEIGHT,NO TITLE,WINNER: JI YEON KIM,2,4:59,KO/TKO,-,-,AUSTRALIA,SOUTH KOREA,-,-
KHALID TAHA,BRUNO SILVA,BANTAMWEIGHT,NO TITLE,NO CONTEST,3,3:00,OVERTURNED,-,-,LEBANON,BRAZIL,-,-
JOANNA JĘDRZEJCZYK,MICHELLE WATERSON-GOMEZ,WOMEN'S STRAWWEIGHT,NO TITLE,WINNER: JOANNA JĘDRZEJCZYK,5,5:00,DECISION - UNANIMOUS,-,-,POLAND,UNITED STATES,-,-
CUB SWANSON,KRON GRACIE,FEATHERWEIGHT,NO TITLE,WINNER: CUB SWANSON,3,5:00,DECISION - UNANIMOUS,FIGHT OF THE NIGHT,FIGHT OF THE NIGHT,UNITED STATES,-,-,-
NIKO PRICE,JAMES VICK,WELTERWEIGHT,NO TITLE,WINNER: NIKO PRICE,1,1:44,KO/TKO,PERFORMANCE OF THE NIGHT,-,UNITED STATES,UNITED STATES,-,-
MACKENZIE DERN,AMANDA RIBAS,WOMEN'S STRAWWEIGHT,NO TITLE,WINNER: AMANDA RIBAS,3,5:00,DECISION - UNANIMOUS,-,-,BRAZIL,BRAZIL,-,-
MATT FREVOLA,LUIS PENA,LIGHTWEIGHT,NO TITLE,WINNER: MATT FREVOLA,3,5:00,DECISION - SPLIT,-,-,UNITED STATES,ITALY,-,-
ERYK ANDERS,GERALD MEERSCHAERT,MIDDLEWEIGHT,NO TITLE,WINNER: ERYK ANDERS,3,5:00,DECISION - SPLIT,-,-,UNITED STATES,UNITED STATES,-,-
RYAN SPANN,DEVIN CLARK,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: RYAN SPANN,2,2:01,SUBMISSION,-,-,UNITED STATES,UNITED STATES,-,-
MIKE DAVIS,THOMAS GIFFORD,LIGHTWEIGHT,NO TITLE,WINNER: MIKE DAVIS,3,4:45,KO/TKO,-,-,UNITED STATES,-,-,-
MAX GRIFFIN,ALEX MORONO,WELTERWEIGHT,NO TITLE,WINNER: ALEX MORONO,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,UNITED STATES,-,-
DEIVESON FIGUEIREDO,TIM ELLIOTT,FLYWEIGHT,NO TITLE,WINNER: DEIVESON FIGUEIREDO,1,3:08,SUBMISSION,-,-,BRAZIL,UNITED STATES,-,-
MARLON VERA,ANDRE EWELL,BANTAMWEIGHT,NO TITLE,WINNER: MARLON VERA,3,3:17,KO/TKO,PERFORMANCE OF THE NIGHT,-,ECUADOR,UNITED STATES,-,-
MIGUEL BAEZA,HECTOR ALDANA,WELTERWEIGHT,NO TITLE,WINNER: MIGUEL BAEZA,2,2:32,KO/TKO,-,-,UNITED STATES,MEXICO,-,-
MARVIN VETTORI,ANDREW SANCHEZ,MIDDLEWEIGHT,NO TITLE,WINNER: MARVIN VETTORI,3,5:00,DECISION - UNANIMOUS,-,-,ITALY,-,-,-
JJ ALDRICH,LAUREN MUELLER,WOMEN'S FLYWEIGHT,NO TITLE,WINNER: JJ ALDRICH,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,-,-,-
DOMINICK REYES,CHRIS WEIDMAN,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: DOMINICK REYES,1,1:43,KO/TKO,PERFORMANCE OF THE NIGHT,-,UNITED STATES,UNITED STATES,-,-
YAIR RODRIGUEZ,JEREMY STEPHENS,FEATHERWEIGHT,NO TITLE,WINNER: YAIR RODRIGUEZ,3,5:00,DECISION - UNANIMOUS,FIGHT OF THE NIGHT,FIGHT OF THE NIGHT,MEXICO,UNITED STATES,-,-
GREG HARDY,BEN SOSOLI,HEAVYWEIGHT,NO TITLE,NO CONTEST,3,5:00,OVERTURNED,-,-,UNITED STATES,AUSTRALIA,-,-
JOE LAUZON,JONATHAN PEARCE,LIGHTWEIGHT,NO TITLE,WINNER: JOE LAUZON,1,1:33,KO/TKO,-,-,UNITED STATES,UNITED STATES,-,-
MAYCEE BARBER,GILLIAN ROBERTSON,WOMEN'S FLYWEIGHT,NO TITLE,WINNER: MAYCEE BARBER,1,3:04,KO/TKO,-,-,UNITED STATES,CANADA,-,-
