Red Corner,Blue Corner,Weight Class,Title Fight,Result,Round,Time,Method,Red Corner Bonus Award,Blue Corner Bonus Award,Red Corner Country,Blue Corner Country,Red Corner Odds,Blue Corner Odds
LYOTO MACHIDA,RAMEAU SOKOUDJOU,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: LYOTO MACHIDA,2,4:20,SUBMISSION,-,-,BRAZIL,-,-,-
RICH CLEMENTI,MELVIN GUILLARD,LIGHTWEIGHT,NO TITLE,WINNER: RICH CLEMENTI,1,4:40,SUBMISSION,-,-,-,-,-,-
EDDIE SANCHEZ,SOA PALELEI,HEAVYWEIGHT,NO TITLE,WINNER: SOA PALELEI,3,3:24,KO/TKO,-,-,-,-,-,-
JAMES IRVIN,LUIZ CANE,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: LUIZ CANE,1,1:51,DQ,-,-,-,-,-,-
MANNY GAMBURYAN,NATE MOHR,LIGHTWEIGHT,NO TITLE,WINNER: NATE MOHR,1,1:31,SUBMISSION,-,-,-,-,-,-
DEAN LISTER,JORDAN RADEV,MIDDLEWEIGHT,NO TITLE,WINNER: JORDAN RADEV,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
ROAN CARNEIRO,TONY DESOUZA,WELTERWEIGHT,NO TITLE,WINNER: ROAN CARNEIRO,2,3:33,KO/TKO,-,-,-,-,-,-
MARK BOCEK,DOUG EVANS,LIGHTWEIGHT,NO TITLE,WINNER: MARK BOCEK,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
BJ PENN,JOE STEVENSON,LIGHTWEIGHT,TITLE,WINNER: BJ PENN,2,4:02,SUBMISSION,-,-,-,-,-,-
FABRICIO WERDUM,GABRIEL GONZAGA,HEAVYWEIGHT,NO TITLE,WINNER: GABRIEL GONZAGA,2,4:34,KO/TKO,-,-,BRAZIL,-,-,-
MARCUS DAVIS,JESS LIAUDIN,WELTERWEIGHT,NO TITLE,WINNER: JESS LIAUDIN,1,1:04,KO/TKO,-,-,-,-,-,-
WILSON GOUVEIA,JASON LAMBERT,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: WILSON GOUVEIA,2,0:37,KO/TKO,-,-,-,-,-,-
JORGE RIVERA,KENDALL GROVE,MIDDLEWEIGHT,NO TITLE,WINNER: JORGE RIVERA,1,1:20,KO/TKO,-,-,-,-,-,-
ANTONI HARDONK,COLIN ROBINSON,HEAVYWEIGHT,NO TITLE,WINNER: ANTONI HARDONK,1,0:17,KO/TKO,-,-,-,-,-,-
PAUL KELLY,PAUL TAYLOR,WELTERWEIGHT,NO TITLE,WINNER: PAUL KELLY,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
ALESSIO SAKARA,JAMES LEE,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: JAMES LEE,1,1:30,KO/TKO,-,-,-,-,-,-
SAM STOUT,PER EKLUND,LIGHTWEIGHT,NO TITLE,WINNER: PER EKLUND,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
MIKE SWICK,JOSHUA BURKMAN,WELTERWEIGHT,NO TITLE,WINNER: MIKE SWICK,3,5:00,DECISION - MAJORITY,-,-,-,UNITED STATES,-,-
PATRICK COTE,DREW MCFEDRIES,MIDDLEWEIGHT,NO TITLE,WINNER: PATRICK COTE,1,1:44,KO/TKO,-,-,-,-,-,-
THIAGO TAVARES,MICHIHIRO OMIGAWA,LIGHTWEIGHT,NO TITLE,WINNER: THIAGO TAVARES,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
NATE DIAZ,ALVIN ROBINSON,LIGHTWEIGHT,NO TITLE,WINNER: NATE DIAZ,1,3:39,SUBMISSION,-,-,UNITED STATES,-,-,-
KURT PELLEGRINO,ALBERTO CRANE,LIGHTWEIGHT,NO TITLE,WINNER: KURT PELLEGRINO,2,1:55,KO/TKO,-,-,-,-,-,-
GRAY MAYNARD,DENNIS SIVER,LIGHTWEIGHT,NO TITLE,WINNER: GRAY MAYNARD,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,-,-,-
JEREMY STEPHENS,COLE MILLER,LIGHTWEIGHT,NO TITLE,WINNER: JEREMY STEPHENS,2,4:44,KO/TKO,-,-,UNITED STATES,-,-,-
COREY HILL,JOE VERES,LIGHTWEIGHT,NO TITLE,WINNER: COREY HILL,2,0:37,KO/TKO,-,-,-,-,-,-
MATT WIMAN,JUSTIN BUCHHOLZ,LIGHTWEIGHT,NO TITLE,WINNER: MATT WIMAN,1,2:56,SUBMISSION,-,-,UNITED STATES,-,-,-
MINOTAURO NOGUEIRA,TIM SYLVIA,HEAVYWEIGHT,INTERIM TITLE,WINNER: TIM SYLVIA,3,1:28,SUBMISSION,-,-,-,-,-,-
FRANK MIR,BROCK LESNAR,HEAVYWEIGHT,NO TITLE,WINNER: FRANK MIR,1,1:30,SUBMISSION,-,-,-,-,-,-
NATE MARQUARDT,JEREMY HORN,MIDDLEWEIGHT,NO TITLE,WINNER: JEREMY HORN,2,1:37,SUBMISSION,-,-,-,-,-,-
RICARDO ALMEIDA,ROB YUNDT,MIDDLEWEIGHT,NO TITLE,WINNER: ROB YUNDT,1,1:08,SUBMISSION,-,-,-,-,-,-
